fccs_id,fccs_name
449,Pin oak-white oak/buttonbush forest
450,Oak-Ashe juniper forest
451,Texas live oak/roughleaf dogwood forest
453,Bluestem-tall fescue-switchgrass grassland
454,American beech-maple/American red raspberry forest
455,Red pine forest
456,Chinese tallow forest
457,Florida strangler fig-gumbo limbo-cabbage palm forest
458,Berlandier's fiddlewood-Texas ebony shrubland
459,Northern oak forest
460,Northern pine-oak forest
461,Post oak-black oak forest
462,Spruce-hardwood barrens
463,Willow oak-water oak forest
464,Loblolly pine-willow oak forest
465,Post oak-southern red oak-loblolly pine forest
466,Loblolly pine-post oak-southern red oak forest
467,Northern and Central native ruderal forest
468,Edwards Plateau floodplain terrace
469,Northern and central ruderal wet meadow and marsh
470,Southeastern native ruderal forest
471,Ouachita novaculite glade and woodland
472,Laurentian acidic rocky outcrop
473,Texas plains xeric sandyland
474,Acadian sub-boreal spruce flat
475,Southern Coastal Plain herbaceous seep
476,West Gulf Coastal Plain herbaceous seep and bog
477,Central Florida wet prairie and herbaceous seep
478,South Florida pine rockland
479,Pacific Islands palm forest
480,Hawai'i introduced wetland vegetation
481,Caribbean Pterocarpus swamp
482,South Florida dwarf cypress savanna
483,Southern Vancouverian lowland ruderal grassland & shrubland
484,Tamaulipan Saline Thornscrub
485,Hawai'i introduced evergreen shrubland
486,Northern Atlantic coastal plain calcareous ravine
487,Semi-desert coastal scrub shrubland
488,Atlantic coastal plain northern bog
489,Interior West ruderal riparian scrub
490,West gulf coastal plain flatwoods pond grassland
491,East gulf coastal plain depression pondshore
492,Southeastern coastal plain interdunal wetland
493,Temperate Pacific freshwater emergent marsh
494,Inter-mountain basins alkaline closed depression
495,Caribbean emergent wetlands
496,Western larch savanna
497,North Pacific maritime coastal sand dune ruderal scrub & herb vegetation
498,Interior western North American temperate ruderal grassland & shrubland
499,Tamaulipan depression woodland
500,Shrub steppe of the Llano Estacado escarpment
501,Yellow poplar ruderal swamp forest
502,Cumberland sandstone glade and barrens
503,Panhandle Florida limestone glade
504,Laurentian-Acadian calcareous rocky outcrop
505,Northern Appalachian-Acadian rocky heath outcrop
506,Idaho fescue-California oatgrass grassland
507,North-central interior quartzite glade
508,Southern and Central Appalachian mafic glade and barrens
509,Southern Ridge and Valley calcareous glade and woodland
511,Use this one: Southeastern coastal plain natural lakeshore
512,Texas-Louisiana coastal prairie pondshore
513,Southwest Florida dune and coastal grassland
514,Pacific coastal dunes grassland
516,Great lakes dune
517,Caribbean coastal beach systems
